"Item 116","Código","Descrição"
"1601","492130102","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Principal"
"1601","492130102","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Principal"
"1601","492130102","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Principal"
"1602","492130103","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Fisica"
"1602","492130103","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Fisica"
"1602","492130103","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Fisica"
"1602","492130104","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Juridica"
"1602","492130104","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Juridica"
"1602","492130104","Transporte Rodoviario de Passageiros, Regular, Municipal Urbano - Alternativo Pessoa Juridica"
"1603","492300101","Serviço de Taxi"
"1603","492300101","Serviço de Taxi"
"1603","492300102","Serviço de Moto Taxi"
"1603","492300102","Serviço de Moto Taxi"
"1603","492300201","Serviço de Transporte de Passageiros - Locação de Automóveis com Motorista"
"1603","492300201","Serviço de Transporte de Passageiros - Locação de Automóveis com Motorista"
"1603","492480001","Transporte Escolar"
"1603","492480001","Transporte Escolar"
"1603","492990101","Transporte Rodoviário Coletivo de Passageiros, Sob Regime de Fretamento, Municipal"
"1603","492990101","Transporte Rodoviário Coletivo de Passageiros, Sob Regime de Fretamento, Municipal"
"902","492990301","Organização de Excursões em Veículos Rodoviários Próprios, Municipal"
"902","492990401","Organização de Excursões em Veículos Rodoviários Próprios, Intermunicipal, Interestadual e Internacional"
"1603","492999901","Transporte Rodoviario de Cargas em Geral, Municipal"
"1603","492999901","Transporte Rodoviario de Cargas em Geral, Municipal"
"1603","492999999","Outros Transportes Rodoviarios de Passageiros Nao Especificados Anteriormente - Municipal"
"1603","492999999","Outros Transportes Rodoviarios de Passageiros Nao Especificados Anteriormente - Municipal"
"1603","493020101","Transporte Rodoviário de Carga, Exceto Produtos Perigosos e Mudanças, Municipal"
"1603","493020101","Transporte Rodoviário de Carga, Exceto Produtos Perigosos e Mudanças, Municipal"
"1603","493020102","Transporte Rodoviário de Medicamentos Não Sujeitos a Controle Especial, Produtos Para a Saúde e Insumos Farmacêuticos (municipal)"
"1603","493020102","Transporte Rodoviário de Medicamentos Não Sujeitos a Controle Especial, Produtos Para a Saúde e Insumos Farmacêuticos (municipal)"
"1603","493020103","Transporte Rodoviário de Medicamentos Sujeitos a Controle Especial (municipal)"
"1603","493020103","Transporte Rodoviário de Medicamentos Sujeitos a Controle Especial (municipal)"
"1603","493020104","Transporte Rodoviário de Cosméticos E/Ou Saneantes (municipal)"
"1603","493020104","Transporte Rodoviário de Cosméticos E/Ou Saneantes (municipal)"
"1603","493020301","Transporte Rodoviario Municipal de Produtos Perigosos"
"1603","493020301","Transporte Rodoviario Municipal de Produtos Perigosos"
"1603","493020401","Transporte Rodoviario Municipal de Mudanças"
"1603","493020401","Transporte Rodoviario Municipal de Mudanças"
"1603","494000001","Transporte Dutoviario"
"1603","494000001","Transporte Dutoviario"
"1401","494000002","Manutenção de Dutos de Transporte"
"303","494000003","Locação e Sublocação de Postes e Cabos"
"303","494000004","Serviços de Compartilhamento de Computadores (escritórios Virtuais)"
"1603","495070001","Trens Turísticos, Teleféricos e Similares"
"1603","495070001","Trens Turísticos, Teleféricos e Similares"
"1603","501140101","Transporte Marítimo de Cabotagem - Carga"
"1603","501140101","Transporte Marítimo de Cabotagem - Carga"
"1603","501140201","Transporte Marítimo de Cabotagem - Passageiros"
"1603","501140201","Transporte Marítimo de Cabotagem - Passageiros"
"1603","502110101","Transporte Por Navegação Interior de Carga, Municipal, Exceto Travessia"
"1603","502110101","Transporte Por Navegação Interior de Carga, Municipal, Exceto Travessia"
"1603","502200101","Transporte Por Navegação Interior de Passageiros em Linhas Regulares, Municipal, Exceto Travessia"
"1603","502200101","Transporte Por Navegação Interior de Passageiros em Linhas Regulares, Municipal, Exceto Travessia"
"2001","503010101","Navegação de Apoio Marítimo"
"2001","503010201","Navegação de Apoio Portuário"
"2001","503010301","Serviço de Rebocadores e Empurradores"
"1603","509120101","Transporte de Passageiros Por Navegação de Travessia, Municipal"
"1603","509120101","Transporte de Passageiros Por Navegação de Travessia, Municipal"
"1603","509120102","Transporte de Cargas Por Navegação de Travessia, Municipal"
"1603","509120102","Transporte de Cargas Por Navegação de Travessia, Municipal"
"1603","509980101","Transporte Aquaviário Para Passeios Turísticos"
"1603","509980101","Transporte Aquaviário Para Passeios Turísticos"
"1603","509989901","Outros Transportes Aquaviários Não Especificados Anteriormente"
"1603","509989901","Outros Transportes Aquaviários Não Especificados Anteriormente"
"1603","511290101","Serviço de Taxi Aereo e Locação de Aeronaves com Tripulação Municpal"
"1603","511290101","Serviço de Taxi Aereo e Locação de Aeronaves com Tripulação Municpal"
"1603","511299901","Outros Serviços de Transporte Aereo de Passageiros Nao-regular Municipal"
"1603","511299901","Outros Serviços de Transporte Aereo de Passageiros Nao-regular Municipal"
"1603","512000001","Transporte Aereo de Carga Municipal"
"1603","512000001","Transporte Aereo de Carga Municipal"
"1104","521170101","Armazéns Gerais - Emissão de Warrant"
"1104","521170201","Guarda-móveis"
"1104","521179901","Depósitos de Mercadorias Para Terceiros, Exceto Armazéns Gerais e Guarda-móveis"
"1104","521179902","Depósitos de Mercadorias de Uso Veterinário Para Terceiros"
"1104","521250001","Carga e Descarga"
"2201","522140001","Concessionárias de Rodovias, Pontes, Túneis e Serviços Relacionados"
"2003","522220001","Terminais Rodoviarios e Ferroviarios"
"2003","522220002","Operação de Terminais Rodoviarios, Ferroviarios, Metroviarios e Serviços Relacionados"
"2003","522220003","Terminais Rodoviarios de Passageiros (rodoviária)"
"2003","522220004","Terminais Rodoviarios de Cargas"
"1101","522310001","Estacionamento de Veículos"
"1101","522310002","Serviço Especial de Guarda de Veículos (estacionamento Comercial com Permanência do Usuário – Drive-in) Horizontal"
"1702","522900101","Serviços de Apoio Ao Transporte Por Táxi, Inclusive Centrais de Chamada"
"1414","522900201","Serviços de Reboque de Veículos"
"710","522909901","Serviços de Limpeza de Locomotivas"
"1104","522909902","Serviços de Guarda-volumes em Terminais Rodoviarios"
"1711","522909903","Serviços de Gestao de Trânsito e Trafego"
"1711","522909904","Serviços de Gestao e Operação de Trânsito e Trafego"
"1405","522909905","Serviços de Liquefação de Gas Para Fins de Transporte em Veiculos Dutos Moveis"
"1102","522909906","Monitoramento e Controle de Trânsito"
"1103","522909907","Serviços de Escolta No Transporte Rodoviário de Cargas Especiais, Intramunicipal"
"1702","522909999","Outras Atividades Auxiliares dos Transportes Terrestres Nao Especificadas Anteriormente"
"1711","523110101","Administração da Infra-estrutura Portuária"
"2001","523110201","Atividades do Operador Portuário"
"2001","523110301","Gestão de Terminais Aquaviários"
"1006","523200001","Atividades de Agenciamento Marítimo"
"1104","523970001","Serviços de Guarda-volumes, No Transporte Hidroviario"
"1603","523970002","Serviços de Translado de Passageiros No Interior das Instalaçoes Portuarias"
"1603","523970002","Serviços de Translado de Passageiros No Interior das Instalaçoes Portuarias"
"1603","523970003","Serviços de Translado de Passageiros No Transporte Terrestre, Intramunicipal"
"1603","523970003","Serviços de Translado de Passageiros No Transporte Terrestre, Intramunicipal"
"2001","523970099","Atividades Auxiliares dos Transportes Aquaviarios Nao Especificadas Anteriormente"
"2001","523970101","Serviços de Praticagem"
"1104","523979901","Serviços de Guarda-volumes, No Transporte Hidroviario"
"1603","523979902","Serviços de Translado de Passageiros No Interior das Instalaçoes Portuarias"
"1603","523979902","Serviços de Translado de Passageiros No Interior das Instalaçoes Portuarias"
"1603","523979903","Serviços de Translado de Passageiros No Transporte Terrestre, Intramunicipal"
"1603","523979903","Serviços de Translado de Passageiros No Transporte Terrestre, Intramunicipal"
"2001","523979999","Atividades Auxiliares dos Transportes Aquaviarios Nao Especificadas Anteriormente"
"2002","524010101","Operação dos Aeroportos e Campos de Aterrissagem"
"2002","524019901","Atividades Auxiliares dos Transportes Aereos, Exceto Operação dos Aeroportos e Campos de Aterrissagem"
"710","524019902","Limpeza de Avioes, Aeronaves"
"1101","524019903","Serviços de Estacionamento e Hangaragem de Helicópteros"
"1104","524019904","Serviços de Guarda-volumes, em Terminais Aereos"
"710","524019905","Manutenção de Interior de Aeronaves (carpetes e Estofados)"
"3301","525080101","Comissaria de Despachos"
"3301","525080201","Atividades de Despachantes Aduaneiros"
"1005","525080301","Agenciamento de Cargas, Exceto Para o Transporte Maritimo"
"1104","525080302","Serviços de Acondicionamento e Agrupamento de Cargas No Transporte Aereo, Ferroviario e Rodoviario"
"1703","525080401","Organização Logística do Transporte de Carga"
"1703","525080501","Operador de Transporte Multimodal - Otm"
"2601","531050101","Atividades do Correio Nacional"
"2601","531050201","Atividades De franqueadas e Permissionárias do Correio Nacional"
"2601","532020101","Serviços de Malote Não Realizados Pelo Correio Nacional"
"2601","532020201","Serviços de Entrega Rápida"
"1010","532020202","Entrega de Jornais e Revistas em Domicílio Sob Contrato"
"901","551080101","Hoteis e Resorts"
"901","551080102","Pousadas"
"1711","551080103","Administradora de Hoteis"
"901","551080104","Serviços de Spa com Alojamento"
"901","551080201","Flats e Apart-hotéis"
"901","551080301","Motéis"
"901","559060101","Albergues, Exceto Assistenciais"
"901","559060201","Campings"
"901","559060301","Pensões (alojamento)"
"901","559069901","Outros Alojamentos Não Especificados Anteriormente"
"901","559069902","Hostel"
"1710","562010201","Serviços de Alimentação Para Eventos e Recepções - Bufê"
"1405","562010202","Serviços de Preparação de Alimentos com Insumos Fornecidos Pelo Tomador"
"1702","581150001","Edição de Livros"
"1711","581150002","Gestao de Direitos Autorais de Obras Literarias"
"1003","581150003","Intermediação Na Aquisição de Direitos Autorais de Obras Literarias"
"1702","581230001","Edição de Jornais"
"1702","581230101","Edição de Jornais Diários"
"1702","581230201","Edição de Jornais Não Diários"
"1702","581310001","Edição de Revistas"
"1702","581910001","Edição de Cadastros, Listas e Outros Produtos Gráficos"
"1702","582120001","Edição Integrada à Impressão de Livros"
"1702","582210001","Edição Integrada à Impressão de Jornais"
"1702","582210101","Edição Integrada à Impressão de Jornais Diários"
"1702","582210201","Edição Integrada à Impressão de Jornais Não Diários"
"1702","582390001","Edição Integrada à Impressão de Revistas"
"1702","582980001","Edição Integrada à Impressão de Cadastros, Listas e Outros Produtos Gráficos"
"1302","591110101","Estúdios Cinematográficos"
"1302","591110201","Produção de Filmes Para Publicidade"
"1302","591119901","Atividades de Produção Cinematografica, de Videos e De Programas de Televisao Nao Especificadas Anteriormente"
"1302","591119902","Filmagem de Programas de Televisao Por Produtores Independentes"
"1301","591200101","Serviços de Dublagem"
"1301","591200201","Serviços de Mixagem Sonora em Produção Audiovisual"
"1302","591209901","Atividades de Pós-produção Cinematográfica, de Vídeos e De Programas de Televisão Não Especificadas Anteriormente"
"1010","591380001","Distribuição Cinematográfica, de Vídeo e De Programas de Televisão"
"1202","591460001","Atividades de Exibição Cinematográfica"
"302","591460002","Espaço Cultural de Projeção de Filmes e Vídeos"
"1301","592010001","Atividades de Gravação de Som e De Edição de Música"
"9907","601010001","Atividades de Rádio"
"1212","601010002","Broadcasting em Rádio"
"1212","601010003","Serviços de Canais de Música"
"9907","602170001","Atividades de Televisão Aberta"
"1724","602250101","Programadoras"
"1724","602250101","Programadoras"
"1005","602250201","Atividades Relacionadas à Televisão Por Assinatura, Exceto Programadoras"
"103","614180002","Acesso à Internet Por Operadoras de Televisão a Cabo"
"103","614340002","Acesso à Internet Por Televisão Por Satélite"
"103","619060101","Provedores de Acesso às Redes de Comunicações"
"103","619060201","Provedores de Voz Sobre Protocolo Internet - Voip"
"1401","619069901","Serviços de Manutenção de Linhas de Telefones"
"3101","619069902","Serviços de Instalação de Linhas de Telefones"
"1102","619069903","Serviços de Rastreamento Por Satelite"
"3101","619069904","Serviços de Manutenção de Suportes Para Circuitos de Dados"
"3101","619069905","Serviços de Instalação de Suportes Para Circuitos de Dados"
"3101","619069906","Serviços de Recarga de Telefone Celular (exceto Venda de Cartão Telefônico)"
"3101","619069999","Outras Atividades de Telecomunicaçoes Nao Especificadas Anteriormente"
"101","620150001","Análise de Sistemas Sob Encomenda"
"104","620150002","Elaboração de Programas de Banco de Dados Sob Encomenda"
"104","620150003","Fornecimento de Documentação de Programas de Computador Desenvolvidos Sob Encomenda"
"104","620150099","Desenvolvimento de Programas de Computador Sob Encomenda"
"101","620150101","Análise de Sistemas Sob Encomenda"
"104","620150102","Elaboração de Programas de Banco de Dados Sob Encomenda"
"104","620150103","Fornecimento de Documentação de Programas de Computador Desenvolvidos Sob Encomenda"
"104","620150199","Desenvolvimento de Programas de Computador Sob Encomenda"
"108","620150201","Web Design"
"108","620150202","Confecção de Página Na Internet"
"101","620230001","Desenvolvimento de Programas de Computador Customizaveis"
"105","620230002","Licenciamento de Programas de Computador Customizaveis"
"1009","620230003","Representação de Software Customizaveis"
"101","620310001","Desenvolvimento de Programas de Computador Nao-customizaveis"
"102","620310002","Atividades de Programação com O Uso de Linguagens de Programação"
"1009","620310003","Representação de Programas de Informatica Nao-customizaveis"
"105","620310004","Licenciamento de Programas de Informatica Nao-customizaveis"
"106","620400001","Consultoria em Tecnologia da Informação"
"107","620400002","Serviços de Edição de Site, Banco de Dados e Software Sob Encomenda"
"107","620910001","Suporte Técnico, Manutenção e Outros Serviços em Tecnologia da Informação"
"108","620910002","Serviços de Desenho de Paginas Para a Internet - Web Design"
"108","620910003","Serviços de  Confecção de Paginas Para a Internet"
"1209","631190001","Aluguel de Hora em Computador"
"103","631190003","Digitalização Para Entrada de Dados"
"103","631190004","Serviços de Hospedagem de Páginas, Sites e Dados - Web Hosting"
"103","631190099","Tratamento de Dados, Provedores de Serviços de Aplicação e Serviços de Hospedagem Na Internet"
"1010","631940001","Serviços de Distribuição On Line de Conteúdo"
"1701","631940002","Serviço de De Certificação Digital"
"109","631940003","Serviços de Disponibilização de Musica Atraves da Internet"
"109","631940003","Serviços de Disponibilização de Musica Atraves da Internet"
"103","631940004","Serviços de Hospedagem de Paginas, Sites e Dados - Web Hosting"
"103","631940005","Site de Busca Na Internet"
"109","631940006","Serviços de Disponibilização de áudio, Vídeo, Imagem e Texto Por Meio da Internet"
"109","631940006","Serviços de Disponibilização de áudio, Vídeo, Imagem e Texto Por Meio da Internet"
"1701","631940007","Serviço de Certificação Digital Prestado a Seus Associados Por Associação Privada Sem Fins Lucrativos "
"103","631940099","Portais, Provedores de Conteudo e Outros Serviços de Informação Na Internet"
"103","631940101","Site de Busca Na Internet"
"1007","639170001","Agências de Notícias"
"1007","639170001","Agências de Notícias"
"1701","639920001","Outras Atividades de Prestação de Serviços de Informação Não Especificadas Anteriormente"
"1502","642120001","Bancos Comerciais"
"1502","642120002","Abertura de Contas em Geral"
"1504","642120003","Fornecimento Ou Emissao de Atestados em Geral, Inclusive Atestado de Idoneidade, Atestado de Capacidade Financeira e Congeneres."
"1505","642120004","Cadastro, Elaboração de Ficha Cadastral, Renovação Cadastral e Congeneres, Inclusao Ou Exclusao No Cadastro de Emitentes de Cheques Sem Fundos Ccf Ou em Quaisquer Outros Bancos Cadastrais."
"1506","642120005","Emissao, Reemissao e Fornecimento de Avisos, Comprovantes e Documentos em Geral"
"1511","642120006","Devolução de Titulos, Protesto de Titulos, Sustação de Protesto, Manutenção de Titulos, Reapresentação de Titulos, e Demais Serviços a Eles Relacionados."
"1513","642120007","Serviços Relacionados a Operaçoes de Câmbio em Geral"
"1514","642120008","Fornecimento, Emissao, Reemissao, Renovação e Manutenção de Cartoes e Congeneres"
"1515","642120009","Compensação de Cheques e Titulos Quaisquer"
"1516","642120010","Emissao, Reemissao, Liquidação, Alteração, Cancelamento e Baixa de Ordens de Pagamento e Similares"
"1517","642120011","Emissao, Fornecimento, Devolução, Sustação, Cancelamento e Oposição de Cheques Quaisquer"
"1503","642120012","Locação e Manutenção de Cofres Particulares, de Terminais Eletrônicos, de Terminais de Atendimento e De Bens e Equipamentos em Geral"
"1518","642120013","Serviços Relacionados a Credito Imobiliario, Avaliação e Vistoria de Imóvel Ou Obra, Analise Tecnica e Juridica, Emissao, Reemissao, Alteração, Transferencia e Renegociação de Contrato, Emissao e Reemissao do Termo de Quitação e Os Demais Serviços Relacionados a Credito Imobiliário"
"1507","642120014","Acesso, Movimentação, Atendimento e Consulta a Contas em Geral, Por Qualquer Meio Ou Processo, Inclusive Por Telefone, Facsimile, Internet e Telex, Acesso a Terminais de Atendimento, Inclusive Vinte e Quatro Horas; Acesso a Outro Banco e à Rede Compartilhada; Fornecimento de Saldo, Extrato e As Demais Informações Relativas a Contas Sem Geral, Por Qualquer Meio Ou Processo"
"1502","642210001","Bancos Múltiplos, com Carteira Comercial"
"1502","642390001","Caixas Econômicas"
"1502","642470101","Bancos Cooperativos"
"1502","642470201","Cooperativas Centrais de Crédito"
"1502","642470301","Cooperativas de Crédito Mútuo"
"1502","642470401","Cooperativas de Crédito Rural"
"1501","643100001","Bancos Múltiplos, Sem Carteira Comercial"
"1501","643100001","Bancos Múltiplos, Sem Carteira Comercial"
"1501","643100001","Bancos Múltiplos, Sem Carteira Comercial"
"1501","643280001","Bancos de Investimento"
"1501","643280001","Bancos de Investimento"
"1501","643280001","Bancos de Investimento"
"1501","643360001","Bancos de Desenvolvimento"
"1501","643360001","Bancos de Desenvolvimento"
"1501","643360001","Bancos de Desenvolvimento"
"1501","643440001","Agências de Fomento"
"1501","643440001","Agências de Fomento"
"1501","643440001","Agências de Fomento"
"1508","643520101","Sociedades de Crédito Imobiliário"
"1508","643520201","Associações de Poupança e Empréstimo"
"1508","643520301","Companhias Hipotecárias"
"1508","643610001","Sociedades de Crédito, Financiamento e Investimento - Financeiras"
"1508","643790001","Sociedades de Crédito Ao Microempreendedor"
"1513","643870101","Bancos de Câmbio"
"1005","643879901","Outras Instituições de Intermediação Não-monetária Não Especificadas Anteriormente"
"1509","644090001","Arrendamento Mercantil"
"1509","644090001","Arrendamento Mercantil"
"1509","644090001","Arrendamento Mercantil"
"1501","645060001","Sociedades de Capitalização"
"1501","645060001","Sociedades de Capitalização"
"1501","645060001","Sociedades de Capitalização"
"1711","646110001","Holdings de Instituições Financeiras"
"1711","646200001","Holdings de Instituições Não-financeiras"
"1711","646380001","Outras Sociedades de Participação, Exceto Holdings"
"1501","647010101","Fundos de Investimento, Exceto Previdenciários e Imobiliários"
"1501","647010101","Fundos de Investimento, Exceto Previdenciários e Imobiliários"
"1501","647010101","Fundos de Investimento, Exceto Previdenciários e Imobiliários"
"1501","647010201","Fundos de Investimento Previdenciários"
"1501","647010201","Fundos de Investimento Previdenciários"
"1501","647010201","Fundos de Investimento Previdenciários"
"1501","647010301","Fundos de Investimento Imobiliários"
"1501","647010301","Fundos de Investimento Imobiliários"
"1501","647010301","Fundos de Investimento Imobiliários"
"1722","649130001","Sociedades de Fomento Mercantil - Factoring"
"1722","649130002","Assessoria, Analise, Avaliação, Atendimento, Consulta, Cadastro, Seleção, Gerenciamento de Informações, Administração de Contas a Receber Ou a Pagar E, em Geral, Relacionados a Operações de Faturização (factoring)."
"1004","649130003","Agenciamento, Corretagem Ou Intermediação de Contratos de Faturização (factoring)."
"1004","649130003","Agenciamento, Corretagem Ou Intermediação de Contratos de Faturização (factoring)."
"1004","649130003","Agenciamento, Corretagem Ou Intermediação de Contratos de Faturização (factoring)."
"1002","649210001","Securitização de Créditos"
"1501","649300001","Administração de Consórcios Para Aquisição de Bens e Direitos"
"1501","649300001","Administração de Consórcios Para Aquisição de Bens e Direitos"
"1501","649300001","Administração de Consórcios Para Aquisição de Bens e Direitos"
"1501","649990101","Clubes de Investimento"
"1501","649990101","Clubes de Investimento"
"1501","649990101","Clubes de Investimento"
"1501","649990201","Sociedades de Investimento"
"1501","649990201","Sociedades de Investimento"
"1501","649990201","Sociedades de Investimento"
"1501","649990401","Caixas de Financiamento de Corporações"
"1501","649990401","Caixas de Financiamento de Corporações"
"1501","649990401","Caixas de Financiamento de Corporações"
"1508","649990501","Concessão de Crédito Pelas Oscip"
"1501","649999901","Casas de Penhor"
"1501","649999901","Casas de Penhor"
"1501","649999901","Casas de Penhor"
"1505","649999999","Outras Atividades de Serviços Financeiros Nao Especificadas Anteriormente"
"2503","651110201","Planos de Auxílio-funeral"
"423","652010001","Sociedade Seguradora de Seguros Saúde"
"423","652010001","Sociedade Seguradora de Seguros Saúde"
"423","652010001","Sociedade Seguradora de Seguros Saúde"
"422","655020001","Planos de Saude"
"422","655020001","Planos de Saude"
"422","655020001","Planos de Saude"
"423","655020002","Outros Planos de Saude Que Se Cumpram Através de Serviços de Terceiros Contratados, Credenciados, Cooperados Ou Apenas Pagos Pelo Operador do Plano Mediante Indicação do Beneficiário."
"423","655020002","Outros Planos de Saude Que Se Cumpram Através de Serviços de Terceiros Contratados, Credenciados, Cooperados Ou Apenas Pagos Pelo Operador do Plano Mediante Indicação do Beneficiário."
"423","655020002","Outros Planos de Saude Que Se Cumpram Através de Serviços de Terceiros Contratados, Credenciados, Cooperados Ou Apenas Pagos Pelo Operador do Plano Mediante Indicação do Beneficiário."
"1703","661180101","Bolsa de Valores"
"1703","661180201","Bolsa de Mercadorias"
"1703","661180301","Bolsa de Mercadorias e Futuros"
"1711","661180401","Administração de Mercados de Balcão Organizados"
"1002","661260101","Corretoras de Títulos e Valores Mobiliários"
"1002","661260201","Distribuidoras de Títulos e Valores Mobiliários"
"1001","661260301","Corretoras de Câmbio"
"1002","661260401","Corretoras de Contratos de Mercadorias"
"1002","661260501","Agentes de Investimentos em Aplicações Financeiras"
"1501","661340001","Administração de Cartões de Crédito"
"1501","661340001","Administração de Cartões de Crédito"
"1501","661340001","Administração de Cartões de Crédito"
"1512","661930101","Serviços de Liquidação e Custódia"
"1510","661930201","Correspondentes de Instituições Financeiras"
"1009","661930301","Representações de Bancos Estrangeiros"
"1507","661930401","Caixas Eletrônicos"
"1501","661930501","Operadoras de Cartões de Débito"
"1501","661930501","Operadoras de Cartões de Débito"
"1501","661930501","Operadoras de Cartões de Débito"
"1004","661939901","Agenciamento, Corretagem Ou Intermediação de Contratos de Arrendamento Mercantil (leasing)"
"1004","661939901","Agenciamento, Corretagem Ou Intermediação de Contratos de Arrendamento Mercantil (leasing)"
"1004","661939901","Agenciamento, Corretagem Ou Intermediação de Contratos de Arrendamento Mercantil (leasing)"
"1002","661939902","Serviços de Intermediação Na Obtenção de Empréstimos"
"1701","661939999","Outras Atividades Auxiliares dos Serviços Financeiros Não Especificadas Anteriormente"
"1801","662150101","Peritos e Avaliadores de Seguros"
"1717","662150201","Auditoria e Consultoria Atuarial"
"1001","662230001","Corretores e Agentes de Seguros, de Planos de Previdência Complementar e De Saúde"
"1701","662910001","Atividades Auxiliares dos Seguros, da Previdência Complementar e Dos Planos de Saúde Não Especificadas Anteriormente"
"1711","663040001","Atividades de Administração de Fundos Por Contrato Ou Comissão"
"302","681020201","Aluguel de Imóveis Próprios"
"1005","682180101","Corretagem Na Compra e Venda de Imóveis"
"2801","682180102","Avaliação de Imóveis"
"1005","682180201","Corretagem No Aluguel de Imóveis"
"1711","682260001","Gestão e Administração da Propriedade Imobiliária"
"1711","682260002","Administradoras de Shopping Center"
"1713","691170101","Serviços Advocatícios"
"1714","691170201","Atividades Auxiliares da Justiça"
"1714","691170202","Arbitragem de Qualquer Especie, Inclusive Juridica."
"1003","691170301","Agente de Propriedade Industrial"
"301","691170302","Cessao de Direito de Uso de Marcas e De Sinais de Propaganda."
"2101","691250001","Cartórios"
"1718","692060101","Atividades de Contabilidade"
"1718","692060201","Atividades de Consultoria Contábil"
"1713","692060202","Atividades de Consultoria Tributária Por Advogados"
"1718","692060203","Atividades de Consultoria Tributaria Por Profissional de Contabilidade"
"1715","692060204","Atividades de Auditoria Contabil e Tributaria"
"1715","692060205","Atividades de Perícias Contábeis e Tributárias"
"1701","702040001","Atividades de Consultoria em Gestao Empresarial, Exceto Consultoria Tecnica Especifica"
"1701","702040002","Consultoria em Negociação Trabalhista"
"1719","702040003","Consultoria Financeira a Empresas"
"1716","702040004","Analise de Organização e Metodos"
"1009","702040005","Atividade de Lobista"
"1703","702040006","Planejamento e Acompanhamento de Programas de Manutenção de Máquinas e Equipamentos"
"3501","702040007","Assessoria de Imprensa  e Relações Públicas"
"701","711110001","Serviços de Arquitetura"
"701","711200001","Serviços de Engenharia"
"717","711200002","Serviços de Fiscalização de Obras"
"703","711200003","Elaboração de Projetos de Engenharia"
"1402","711200004","Serviços Técnicos de Engenharia"
"718","711970101","Serviços de Cartografia, Topografia e Geodesia"
"701","711970102","Serviços de Agrimensura"
"703","711970103","Projetos Topograficos"
"718","711970201","Atividades de Estudos Geologicos"
"703","711970202","Elaboração de Projetos de Prospecção de Petróleo e Gas Natural"
"3201","711970301","Serviços de Desenho Técnico Relacionados à Arquitetura e Engenharia"
"1708","711970401","Serviços de Perícia Técnica Relacionados à Segurança do Trabalho"
"718","711979901","Serviços de Aerofotogrametria"
"3101","711979999","Atividades Tecnicas Relacionadas à Engenharia e Arquitetura Nao Especificadas Anteriormente"
"1708","712010001","Testes e Analises Tecnicas de Produtos Não Sujeitos à Vigilância Sanitária"
"201","712010002","Atividades de Pesquisa e Desenvolvimento Experimental em Ciencias Fisicas e Naturais"
"3001","712010003","Serviços de Biologia, Biotecnologia e Quimica"
"1708","712010004","Testes e Analises Tecnicas de Produtos Sujeitos à Vigilância Sanitária"
"201","721000001","Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais"
"201","722070001","Pesquisa e Desenvolvimento Experimental em Ciências Sociais e Humanas"
"1706","731140001","Agências de Publicidade (criação e Produção de Propaganda)"
"1008","731140002","Colocação, em Nome de Clientes, de Material Publicitario em Jornais, Revistas, Radio, Televisao, Internet e Em Outros Veiculos de Comunicação (intermediação de Campanhas Publicitárias)"
"1008","731140002","Colocação, em Nome de Clientes, de Material Publicitario em Jornais, Revistas, Radio, Televisao, Internet e Em Outros Veiculos de Comunicação (intermediação de Campanhas Publicitárias)"
"2301","731140003","Serviço de Programação e Comunicação Visual"
"1008","731220001","Agenciamento de Espaços Para Publicidade, Exceto em Veiculos de Comunicação"
"1008","731220001","Agenciamento de Espaços Para Publicidade, Exceto em Veiculos de Comunicação"
"1724","731220002","Locação de Espaços Publicitarios"
"1724","731220002","Locação de Espaços Publicitarios"
"1706","731900101","Criação de Estandes Para Feiras e Exposições"
"1706","731900201","Promoção de Vendas"
"1706","731900301","Marketing Direto"
"1706","731900401","Consultoria em Publicidade"
"1724","731909901","Veiculação e Divulgação de Textos, Desenhos e Outros Materiais de Publicidade"
"1724","731909901","Veiculação e Divulgação de Textos, Desenhos e Outros Materiais de Publicidade"
"1724","731909902","Serviços de Publicidade Aerea"
"1724","731909902","Serviços de Publicidade Aerea"
"1724","731909903","Serviços de Carro de Som Para Publicidade"
"1724","731909903","Serviços de Carro de Som Para Publicidade"
"1706","731909999","Outras Atividades de Publicidade Não Especificadas Anteriormente"
"1701","732030001","Pesquisas de Mercado e De Opinião Pública"
"2301","741020101","Design"
"2301","741020102","Serviços de Desenho Industrial"
"3201","741020103","Design de Moda"
"711","741020201","Design de Interiores"
"2301","741020301","Design de Produtos"
"2301","741020302","Serviços de Desenho Industrial"
"3201","741020303","Design de Moda"
"2301","741029901","Atividades de Design Não Especificadas Anteriormente"
"1302","742000101","Atividades de Produção de Fotografias, Exceto Aerea e Submarina"
"1302","742000102","Atelier Fotografico"
"718","742000201","Atividades de Produção de Fotografias Aéreas e Submarinas"
"1302","742000301","Laboratórios Fotográficos"
"1302","742000401","Filmagem de Festas e Eventos"
"1303","742000501","Serviços de Microfilmagem"
